trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-97.78711512222874,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-69.87250761202517,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-113.84535940808927,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-74.86111196324651,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,2,-83.02104621463711,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-93.09998629055599,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-101.56729314288299,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,8,-21.494985990477524,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,11,-21.683842027971906,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,10,-63.799496168432405,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,7,-6.755642983586808,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,11.708521362425708,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,18,-44.00055701453169,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,6,-32.270972682301554,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,17,7.377385941017789,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,25.979996292188265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,11,21.057231739091506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,7.951815173515335,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,22.796901516839625,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,-0.6622819395177943,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,7,20.941429624623783,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,36.62144634298938,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,7,26.538157897954605,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,6,23.46526511065806,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,17,15.065900548183178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,3,2.1189108185823002,"{0: 25, 1: 0, 2: 0, 3: 2, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,9,19.510089486282713,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,6,18.061160756051645,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,15,19.580416033844724,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,13,23.44121539203488,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
