trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-101.07250654926952,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9025}",20,13,-43.24600354181808,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",35,0,-235.00864392746786,"{0: 19, 1: 3, 2: 8, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",30,0,-74.62173769615072,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",20,0,-31.675628059920943,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",30,0,-188.22086911952493,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-30.40484405988327,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,0,-71.23788556926442,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",30,20,6.477704062989185,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",20,0,-38.932539242890556,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",25,2,-66.70669381559057,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",20,0,-40.02207748964907,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",20,7,-11.603423382688662,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",30,0,-73.1090049492359,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,0,0.5905268141762183,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",30,16,16.64012548229613,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,2,-27.331228234167988,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",25,0,-82.9790229971175,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",35,12,-10.363065932295903,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",30,17,0.12286647995606503,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",20,12,-20.194930941781408,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",25,18,12.384146226518347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",20,0,0.07667171264566242,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
