trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-130.33488446679385,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.81}",25,0,-129.41637557460174,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",25,0,-177.34795498152837,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",20,0,-175.6589993265502,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",25,0,-212.32654170909967,"{0: 11, 1: 1, 2: 8, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,0,-95.05563866148931,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",20,0,-75.49163046026649,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",30,0,-146.7867126241131,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",20,0,-74.75607435096093,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",20,11,-79.18233868699247,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",30,0,-178.3919084439097,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",30,0,-217.89138383777467,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",20,0,-153.24229533948952,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",25,0,-270.59482310452336,"{0: 9, 1: 1, 2: 11, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",30,12,-96.78797621259874,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",30,0,-213.3735542523117,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",25,0,-131.8089260751949,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",20,0,-117.17411924251462,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",20,0,-174.1792772531798,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",25,0,-191.94957409418964,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,14,-82.17048635930081,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-167.5097120414232,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-79.77859606283943,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-126.32374180625807,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-49.787567289144704,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-304.13327423588373,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 6}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-111.23522266380967,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-91.2037814306486,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,17,-35.52710829890327,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-137.09535155833808,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
